OTUNumber	OTUConTaxonomy	door_in_1	door_in_2	faucet_handle_1	faucet_handle_2	sink_floor_1	sink_floor_2	soap_dispenser_1	stall_in_1	toilet_floor_1	toilet_floor_2	toilet_flush_handle_1	toilet_flush_handle_2	toilet_seat_1	toilet_seat_2
Otu00001	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);Propionibacterium(100);"	1381	1032	335	577	38	36	1115	598	45	87	13	329	76	156
Otu00002	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Enhydrobacter(100);"	20	17	1686	3	411	564	128	9	430	707	0	25	258	0
Otu00003	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	8	47	6	418	15	8	84	45	6	30	3	283	41	1059
Otu00004	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(99);Arthrobacter(86);"	6	27	5	6	452	275	63	0	236	251	9	51	5	3
Otu00005	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	29	0	648	2	8	3	32	1	5	0	206	7	95
Otu00006	"Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);"	184	125	20	160	8	8	55	115	24	7	3	130	32	45
Otu00007	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);"	22	46	5	11	119	243	37	10	112	234	4	10	29	4
Otu00008	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiales_incertae_sedis(100);Aquabacterium(100);"	41	211	15	31	0	7	95	225	4	3	14	49	56	31
Otu00009	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);"	3	0	389	0	8	5	3	0	14	13	0	17	32	0
Otu00010	"Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);"	36	45	1	116	5	5	17	0	11	11	2	61	54	100
Otu00011	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Finegoldia(100);"	1	9	6	22	1	3	12	23	1	6	1	62	36	250
Otu00012	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	5	14	6	101	0	10	9	17	8	10	0	71	22	132
Otu00013	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(95);"	9	10	0	0	0	1	5	0	1	0	0	0	364	0
Otu00014	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	9	17	1	114	1	1	4	0	0	9	0	100	13	91
Otu00015	"Bacteria(100);Bacteroidetes(100);Flavobacteriia(100);Flavobacteriales(100);Flavobacteriaceae(100);Chryseobacterium(97);"	4	3	1	0	36	156	0	0	30	115	3	1	4	0
Otu00016	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Acetobacteraceae(100);Roseomonas(100);"	0	0	178	0	23	27	47	0	30	24	0	0	8	0
Otu00017	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Kocuria(100);"	2	27	1	0	70	72	16	4	48	49	0	9	1	0
Otu00018	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);"	181	8	13	22	0	1	4	26	4	1	2	2	7	0
Otu00019	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(100);"	0	10	2	2	23	8	0	0	21	20	20	160	0	2
Otu00020	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);Friedmanniella(100);"	6	0	0	0	91	40	0	0	38	32	4	6	4	0
Otu00021	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);"	24	11	2	42	12	13	7	55	24	11	3	1	12	3
Otu00022	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Geodermatophilaceae(100);Modestobacter(97);"	0	0	0	2	66	34	8	0	61	32	0	2	2	0
Otu00023	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Burkholderiaceae(100);Cupriavidus(100);"	10	5	0	0	0	0	0	46	0	0	0	0	142	2
Otu00024	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Bradyrhizobiaceae(100);Afipia(86);"	27	9	3	6	5	6	28	74	5	3	6	20	8	5
Otu00025	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);"	3	4	0	2	0	0	0	16	0	1	0	16	9	152
Otu00026	"Bacteria(100);Proteobacteria(100);unclassified(100);unclassified(100);unclassified(100);unclassified(100);"	24	53	6	3	1	0	27	49	2	1	1	15	8	0
Otu00027	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Pseudomonadaceae(100);Pseudomonas(100);"	34	32	12	7	5	3	19	34	13	4	1	9	10	0
Otu00028	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Enterobacter(84);"	2	2	2	107	1	20	8	11	7	5	0	2	7	2
Otu00029	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(92);unclassified(92);"	6	0	0	0	0	0	9	0	0	0	0	0	159	1
Otu00030	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);unclassified(100);unclassified(100);"	8	48	1	27	0	1	54	0	0	0	0	22	1	9
Otu00031	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);unclassified(92);"	0	0	0	0	12	12	0	0	7	20	117	0	0	0
Otu00032	"Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Pseudomonadales(100);Moraxellaceae(100);Acinetobacter(100);"	9	6	2	2	11	27	11	39	17	30	0	4	6	1
Otu00033	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingobium(80);"	0	0	3	0	13	43	0	16	25	60	0	0	0	0
Otu00034	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Nesterenkonia(100);"	0	0	0	0	0	0	0	0	0	0	0	0	150	0
Otu00035	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Acidovorax(86);"	0	0	1	8	16	13	12	13	11	20	25	0	29	0
Otu00036	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(99);Sphingomonadaceae(98);Sphingomonas(95);"	0	0	0	0	2	1	0	0	0	0	3	129	2	0
Otu00037	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Intrasporangiaceae(100);unclassified(100);"	0	0	0	0	2	2	0	0	3	2	124	0	1	0
Otu00038	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);unclassified(88);unclassified(88);"	0	6	0	0	11	61	0	0	10	24	0	0	22	0
Otu00039	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100);"	39	12	21	13	2	0	14	14	0	0	0	16	1	0
Otu00040	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodobacterales(100);Rhodobacteraceae(100);unclassified(100);"	0	0	0	0	26	30	0	33	20	10	1	5	1	4
Otu00041	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhizobiales(100);Methylobacteriaceae(100);Methylobacterium(100);"	3	14	2	2	2	3	14	24	0	6	2	29	26	1
Otu00042	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Geodermatophilaceae(100);Blastococcus(94);"	0	0	0	0	35	17	14	0	26	11	2	9	2	4
Otu00043	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Propionibacteriaceae(100);Propionibacterium(100);"	7	13	0	11	0	2	25	23	1	0	0	9	0	25
Otu00044	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Rothia(100);"	9	13	7	3	1	1	0	61	14	0	1	1	3	0
Otu00045	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingomonas(91);"	0	0	0	0	0	0	0	0	0	0	0	0	113	0
Otu00046	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Comamonadaceae(100);Variovorax(98);"	4	0	0	0	25	18	0	0	32	21	7	5	0	1
Otu00047	"Bacteria(100);Bacteroidetes(100);Sphingobacteriia(100);Sphingobacteriales(100);Chitinophagaceae(100);unclassified(90);"	0	22	1	3	0	0	4	58	0	2	4	11	0	6
Otu00048	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Micrococcaceae(100);Micrococcus(100);"	11	14	9	1	0	2	0	0	2	4	0	7	54	7
Otu00049	"Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiales_Incertae_Sedis_XI(100);Anaerococcus(100);"	0	0	0	3	0	0	0	13	0	0	0	19	0	74
Otu00050	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Sphingomonadales(100);Sphingomonadaceae(100);Sphingobium(100);"	0	11	3	1	0	0	0	0	0	0	1	55	35	0
Otu00051	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Caulobacterales(100);Caulobacteraceae(100);Phenylobacterium(100);"	0	0	0	0	1	0	0	0	0	0	4	101	0	0
Otu00052	"Bacteria(100);Proteobacteria(100);Alphaproteobacteria(100);Rhodospirillales(100);Acetobacteraceae(100);Roseomonas(100);"	0	0	5	0	33	17	0	0	27	16	1	5	0	0
Otu00053	"Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Oxalobacteraceae(100);Noviherbaspirillum(100);"	0	0	0	2	26	8	7	0	31	15	3	7	3	0
Otu00054	"Bacteria(100);Actinobacteria(100);Actinobacteria(100);Actinomycetales(100);Corynebacteriaceae(100);Corynebacterium(100);"	0	12	1	21	0	2	0	0	0	2	0	13	2	49
Otu00055	"Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Lactococcus(100);"	0	33	1	3	14	4	0	12	1	5	4	4	19	1
Otu00056	"Bacteria(100);Firmicutes(100);Bacilli(100);Bacillales(100);Staphylococcaceae(100);Staphylococcus(100);"	17	34	11	1	2	0	28	0	1	2	0	1	2	0
